Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Prob_Home,Prob_Draw,Prob_Away,HomeWin_Pct,HomeWin_StdDev,Optimal_Advantage,TeamHomeAdvantage,HomeAdvantageUsed,Home_Elo,Away_Elo,Relative_Home_Advantage,Elo_Difference,Home_Attack,Away_Defense,Away_Attack,Home_Defense,Pred_Home_Goals,Pred_Away_Goals,Home_Elo_I,Away_Elo_I,Home_Avg_Goals_I,Away_Avg_Goals_I,Pred_Home_GoalsF,Pred_Away_GoalsF,Home_Elo_I_Norm,Away_Elo_I_Norm,Home_Power,Away_Power,Home_Avg_Odd_H,Away_Avg_Odd_A,Pred_Home_Odd_Goals,Pred_Away_Odd_Goals,BackHome
2.45,3.35,2.47,1.65,1.98,1.74,2.02,0.3672088,0.2685557,0.36423546,0.40748033,0.49160755,-65.03846,24.607216,24.607216,1880.3597,1622.1794,0.1640481,282.7876,0.6,1.5,1.1,1.2,1.3292254,1.2804663,1416.416,1572.8896,0.6,1,0.83513874,0.8374573,0.68322194,0.75869846,0.74398863,0.790202,6.054,6.423,0.9319373,1.3336904,0
3.4,3.25,2.1,2.03,1.83,1.73,2,0.2728363,0.28542873,0.44173497,0.3895284,0.4877339,-78.05053,-38.764004,-38.764004,1572.2648,1627.1777,-0.2584267,-93.67697,0.6,1.2,1.1,1.2,1.1709367,1.1013727,1382.4271,1523.2885,0.6,0.9,0.82179546,0.94281954,0.666827,0.73477286,0.72881436,0.81799155,3.025,2.418,1.174588,1.4113222,0
2.2,3.4,3.2,1.85,2,1.67,2.1,0.42834646,0.27716535,0.2944882,0.40320122,0.49072757,-68.12244,125.171684,125.171684,1704.6523,1595.8625,0.8344779,233.96146,2.6,1.5,1.2,1,1.8905069,1.1308378,1654.0242,1579.156,2.6,1.7,2.7420974,1.5887699,0.79783446,0.7617211,1.5755396,1.0925406,2.418,3.133,1.386339,1.2204094,0
3.5,3.9,1.95,1.44,2.7,1.44,2.63,0.27083334,0.24305555,0.4861111,0.4028412,0.4905938,-68.382385,-49.975494,-49.975494,1668.2249,1637.9647,-0.33316997,-19.715466,1.9,1.9,1.4,1.4,1.6238785,1.1615442,1581.8254,1625.1509,1.5,1.3,1.4491037,1.1193501,0.7630087,0.7839072,1.0374467,0.9180843,3.003,2.566,1.1930681,1.3863231,1
2.4,3.25,3,2,1.8,1.8,1.95,0.3939394,0.29090908,0.3151515,0.4522494,0.49791119,-33.28194,4.512404,4.512404,1792.7605,1778.3201,0.030082695,18.952745,0.9,2.1,0.7,1.6,1.2522273,1.2036304,1612.9989,1569.7427,1.1,1.5,1.1990005,1.1784731,0.7780456,0.75718045,0.9464275,0.9256975,2.82,4.415,1.4261632,1.1209738,1
3.25,3.9,2,1.48,2.6,1.44,2.63,0.28915662,0.24096386,0.4698795,0.38729197,0.4875002,-79.68602,-21.743065,-21.743065,1635.5087,1361.4998,-0.14495377,252.26588,1.1,1.3,1,1.3,1.4081165,1.2249347,1679.6665,1652.7004,1.1,1.6,1.1424432,1.416137,0.8102034,0.797196,0.94309926,1.0447724,2.356,2.231,1.3059082,1.3297688,1
3.4,3.5,2.1,2.05,1.75,1.8,1.95,0.2785146,0.27055702,0.4509284,0.43353173,0.49580827,-46.46187,-37.990204,-37.990204,1549.6023,1798.7035,-0.25326803,-287.09137,1.1,1.1,1.4,1.2,1.0768442,1.072257,1547.546,1753.3872,0.9,1.2,0.99817634,1.083443,0.7464737,0.8457632,0.8471548,0.9408351,2.491,1.815,1.233457,1.4103822,1
4.75,3.1,1.9,2.5,1.5,2.2,1.62,0.19871795,0.30448717,0.49679488,0.4028412,0.4905938,-68.382385,71.77796,71.77796,1581.6467,1637.9647,0.47851974,15.459858,0.9,1.1,1,1.2,1.4125652,1.1412152,1581.1072,1811.2955,1.1,1.5,1.1062284,1.2974228,0.7626623,0.87369585,0.9000887,1.0431865,2.925,2.238,1.1791558,1.4209527,0
5.5,5.5,1.42,1.3,3.5,1.44,2.63,0.17026378,0.17026378,0.6594724,0.4262295,0.4948969,-51.63788,-102.109,-102.109,1689.2582,1484.1776,-0.6807267,102.97158,1.6,1.4,1.5,1.3,1.6238785,1.269813,1297.4827,1585.1815,1.6,1.2,1.3738878,1.1765271,0.6258533,0.7646276,0.92506707,0.9293874,5.273,3.784,0.871812,1.5974044,0
2.35,2.9,3.25,2.37,1.52,2,1.72,0.39472306,0.3198618,0.28541514,0.3992989,0.48983237,-70.944115,-48.417477,-48.417477,1563.9526,1492.0542,-0.32278317,23.48101,1.7,1.7,1.9,0.6,1.2721341,1.2038987,1552.3574,1456.6205,1.7,0.8,1.4118145,0.8519985,0.74879456,0.70261496,1.0140026,0.7623684,2.88,3.05,1.2671754,1.2997772,0
